accountid_highest_event,event_type
3ee82b93aad17fad372ad27ffd3bba2e,1
e9d3e114b1cf19de5ae8d014512350c2,12
ff24ab196f6f208f87009e1ca3bf791e,51
ffbcef6824a891109d50db457323dcd7,173
fd098f38b0781292b704b742636dd3f6,235
f505ad6f3e37432eb4fa7967b82878d0,381
fe921fc3ea6b5ad56e6ee2c425b6bee1,471
f505ad6f3e37432eb4fa7967b82878d0,615
fee987b7a56a5ecd19c3ef6bcbc68e97,758
f8ff98b632333d342e5ff8ddcd6f73f1,767
fe26d148d41904874438310ae92bdbf6,781
e4bc3c28ccda37c8b6120f65702b085e,877
ff8c7e06ea937ba7574ac8fdb22e82ec,880
ffb14e8b6e84eb9ad09f15443be54561,1095
ff0e24e5f4f130fbb6816f99f87413cd,1215
ff0e24e5f4f130fbb6816f99f87413cd,1678
fe2d9938f8a1f645655aca5e7d7b3f7a,2221
ff8c7e06ea937ba7574ac8fdb22e82ec,2232
fee987b7a56a5ecd19c3ef6bcbc68e97,2377
fff3fa34fd87ebca6e657dab4ac4e2e3,4089
ffc7d6a474159eb87ff0b0b14459ded1,4236
ffbcb514b94b716593200e5f5baa416c,4640
ffb14e8b6e84eb9ad09f15443be54561,4643
fdf5008d21c4bc9feece49d00522ca07,6076
fff3fa34fd87ebca6e657dab4ac4e2e3,24628
